data,gasolina_blr
01/01/2017,3.605
08/01/2017,3.63
15/01/2017,3.649
22/01/2017,3.628
29/01/2017,3.634
05/02/2017,3.611
12/02/2017,3.624
19/02/2017,3.606
26/02/2017,3.604
05/03/2017,3.556
12/03/2017,3.532
19/03/2017,3.509
26/03/2017,3.502
02/04/2017,3.458
09/04/2017,3.468
16/04/2017,3.455
23/04/2017,3.448
30/04/2017,3.425
07/05/2017,3.442
14/05/2017,3.425
21/05/2017,3.406
28/05/2017,3.374
04/06/2017,3.356
11/06/2017,3.339
18/06/2017,3.322
25/06/2017,3.289
02/07/2017,3.282
09/07/2017,3.286
16/07/2017,3.234
23/07/2017,3.513
30/07/2017,3.533
06/08/2017,3.54
13/08/2017,3.519
20/08/2017,3.554
27/08/2017,3.577
03/09/2017,3.614
10/09/2017,3.612
17/09/2017,3.628
24/09/2017,3.668
01/10/2017,3.724
08/10/2017,3.663
15/10/2017,3.692
22/10/2017,3.674
29/10/2017,3.687
05/11/2017,3.751
12/11/2017,3.762
19/11/2017,3.826
26/11/2017,3.902
03/12/2017,3.876
10/12/2017,3.878
17/12/2017,3.941
24/12/2017,3.945
31/12/2017,3.975
07/01/2018,3.988
14/01/2018,4.002
21/01/2018,4.006
28/01/2018,4.019
04/02/2018,4.004
11/02/2018,4.014
18/02/2018,4.008
25/02/2018,3.992
04/03/2018,3.97
11/03/2018,4.003
18/03/2018,3.988
25/03/2018,3.992
01/04/2018,4.007
08/04/2018,4.008
15/04/2018,4.006
22/04/2018,4.035
29/04/2018,4.005
06/05/2018,4.032
13/05/2018,4.056
20/05/2018,4.196
27/05/2018,4.502
03/06/2018,4.416
10/06/2018,4.349
17/06/2018,4.326
24/06/2018,4.274
01/07/2018,4.272
08/07/2018,4.259
15/07/2018,4.268
22/07/2018,4.241
29/07/2018,4.235
05/08/2018,4.221
12/08/2018,4.208
19/08/2018,4.189
26/08/2018,4.224
02/09/2018,4.296
09/09/2018,4.409
16/09/2018,4.414
23/09/2018,4.476
30/09/2018,4.469
07/10/2018,4.499
14/10/2018,4.512
21/10/2018,4.506
28/10/2018,4.49
04/11/2018,4.452
11/11/2018,4.377
18/11/2018,4.332
25/11/2018,4.291
02/12/2018,4.187
09/12/2018,4.148
16/12/2018,4.129
23/12/2018,4.129
30/12/2018,4.113
06/01/2019,4.104
13/01/2019,4.058
20/01/2019,4.012
27/01/2019,4.004
03/02/2019,3.974
10/02/2019,3.966
17/02/2019,3.967
24/02/2019,3.989
03/03/2019,3.994
10/03/2019,4.058
17/03/2019,4.062
24/03/2019,4.109
31/03/2019,4.086
07/04/2019,4.132
14/04/2019,4.17
21/04/2019,4.248
28/04/2019,4.214
05/05/2019,4.287
12/05/2019,4.267
19/05/2019,4.27
26/05/2019,4.269
02/06/2019,4.252
09/06/2019,4.21
16/06/2019,4.168
23/06/2019,4.142
30/06/2019,4.151
07/07/2019,4.126
14/07/2019,4.113
21/07/2019,4.079
28/07/2019,4.083
04/08/2019,4.078
11/08/2019,4.083
18/08/2019,4.086
25/08/2019,4.087
01/09/2019,4.073
08/09/2019,4.08
15/09/2019,4.075
22/09/2019,4.116
29/09/2019,4.13
06/10/2019,4.124
13/10/2019,4.134
20/10/2019,4.156
27/10/2019,4.154
03/11/2019,4.149
10/11/2019,4.166
17/11/2019,4.19
24/11/2019,4.198
01/12/2019,4.264
08/12/2019,4.309
15/12/2019,4.343
22/12/2019,4.339
29/12/2019,4.351
05/01/2020,4.348
12/01/2020,4.425
19/01/2020,4.399
26/01/2020,4.384
02/02/2020,4.396
09/02/2020,4.382
16/02/2020,4.356
23/02/2020,4.363
01/03/2020,4.353
08/03/2020,4.361
15/03/2020,4.326
22/03/2020,4.214
29/03/2020,4.087
05/04/2020,3.992
12/04/2020,3.932
19/04/2020,3.847
26/04/2020,3.789
03/05/2020,3.701
10/05/2020,3.682
17/05/2020,3.666
24/05/2020,3.687
31/05/2020,3.736
07/06/2020,3.76
14/06/2020,3.807
21/06/2020,3.848
28/06/2020,3.865
05/07/2020,3.888
12/07/2020,3.911
19/07/2020,3.967
26/07/2020,4.009
02/08/2020,4.005
09/08/2020,4.011
16/08/2020,4.005
18/10/2020,4.185
25/10/2020,4.227
01/11/2020,4.162
08/11/2020,4.187
15/11/2020,4.207
22/11/2020,4.193
29/11/2020,4.212
06/12/2020,4.238
13/12/2020,4.222
20/12/2020,4.221
27/12/2020,4.235
03/01/2021,4.283
10/01/2021,4.31
17/01/2021,4.344
24/01/2021,4.392
31/01/2021,4.478
07/02/2021,4.551
14/02/2021,4.627
21/02/2021,4.864
28/02/2021,5.021
07/03/2021,5.209
14/03/2021,5.318
21/03/2021,5.308
28/03/2021,5.237
04/04/2021,5.223
11/04/2021,5.206
18/04/2021,5.205
25/04/2021,5.265
02/05/2021,5.295
09/05/2021,5.319
16/05/2021,5.374
23/05/2021,5.391
30/05/2021,5.382
06/06/2021,5.408
13/06/2021,5.405
20/06/2021,5.405
27/06/2021,5.388
04/07/2021,5.422
11/07/2021,5.482
18/07/2021,5.504
25/07/2021,5.487
01/08/2021,5.498
08/08/2021,5.523
15/08/2021,5.626
22/08/2021,5.653
29/08/2021,5.681
05/09/2021,5.715
12/09/2021,5.771
19/09/2021,5.775
26/09/2021,5.792
03/10/2021,5.808
10/10/2021,5.99
17/10/2021,6.023
24/10/2021,6.184
31/10/2021,6.332
07/11/2021,6.415
14/11/2021,6.407
21/11/2021,6.421
28/11/2021,6.401
05/12/2021,6.39
12/12/2021,6.351
19/12/2021,6.323
26/12/2021,6.314
02/01/2022,6.32
09/01/2022,6.339
16/01/2022,6.384
23/01/2022,6.37
30/01/2022,6.366
06/02/2022,6.33
13/02/2022,6.322
20/02/2022,6.303
27/02/2022,6.289
06/03/2022,6.332
13/03/2022,6.867
20/03/2022,6.857
27/03/2022,6.877
03/04/2022,6.866
10/04/2022,6.925
17/04/2022,6.954
24/04/2022,6.992
01/05/2022,6.948
08/05/2022,6.94
15/05/2022,6.91
22/05/2022,6.92
29/05/2022,6.89
05/06/2022,6.86
12/06/2022,6.83
19/06/2022,6.97
26/06/2022,6.7
03/07/2022,6.1
10/07/2022,5.89
17/07/2022,5.78
24/07/2022,5.65
