data,acucar_usd
01/08/2022,17.60
02/08/2022,17.69
03/08/2022,17.77
04/08/2022,17.55
05/08/2022,17.94
08/08/2022,17.96
09/08/2022,17.98
10/08/2022,18.28
11/08/2022,18.49
12/08/2022,18.60
15/08/2022,18.54
16/08/2022,18.27
17/08/2022,18.24
18/08/2022,17.77
19/08/2022,18.09
22/08/2022,17.94
23/08/2022,17.89
24/08/2022,18.04
25/08/2022,17.90
26/08/2022,18.47
29/08/2022,18.44
30/08/2022,18.10
31/08/2022,17.89
01/09/2022,17.99
02/09/2022,18.15
06/09/2022,17.98
07/09/2022,18.05
08/09/2022,17.91
09/09/2022,18.22
12/09/2022,18.35
13/09/2022,18.38
14/09/2022,18.27
15/09/2022,18.18
16/09/2022,17.88
19/09/2022,17.69
20/09/2022,18.19
21/09/2022,18.22
22/09/2022,18.49
23/09/2022,18.28
26/09/2022,18.35
27/09/2022,18.19
28/09/2022,18.29
29/09/2022,18.44
30/09/2022,18.42
03/10/2022,17.42
04/10/2022,17.91
05/10/2022,17.95
06/10/2022,18.46
07/10/2022,18.68
10/10/2022,18.61
11/10/2022,18.74
12/10/2022,18.68
13/10/2022,18.81
14/10/2022,18.84
17/10/2022,18.77
18/10/2022,18.67
19/10/2022,18.65
20/10/2022,18.39
21/10/2022,18.38
24/10/2022,18.13
25/10/2022,18.11
26/10/2022,17.86
27/10/2022,17.71
28/10/2022,17.58
31/10/2022,17.97
01/11/2022,18.43
02/11/2022,18.47
03/11/2022,18.47
04/11/2022,18.71
07/11/2022,18.68
08/11/2022,19.00
09/11/2022,19.38
10/11/2022,19.41
11/11/2022,19.64
14/11/2022,19.83
15/11/2022,20.29
16/11/2022,20.27
17/11/2022,19.73
18/11/2022,20.05
21/11/2022,19.86
22/11/2022,19.74
23/11/2022,19.55
25/11/2022,19.33
28/11/2022,19.38
29/11/2022,19.53
30/11/2022,19.63
