data,dolar_blr
01/08/2022,5.1838
02/08/2022,5.2784
03/08/2022,5.2815
04/08/2022,5.2164
05/08/2022,5.1646
08/08/2022,5.1117
09/08/2022,5.1237
10/08/2022,5.0927
11/08/2022,5.1581
12/08/2022,5.0735
15/08/2022,5.0961
16/08/2022,5.1459
17/08/2022,5.1642
18/08/2022,5.1674
19/08/2022,5.1697
22/08/2022,5.1574
23/08/2022,5.1037
24/08/2022,5.1114
25/08/2022,5.1099
26/08/2022,5.0601
29/08/2022,5.0282
30/08/2022,5.1223
31/08/2022,5.1831
01/09/2022,5.2416
02/09/2022,5.1681
05/09/2022,5.1516
06/09/2022,5.2528
07/09/2022,5.2480
08/09/2022,5.2141
09/09/2022,5.1462
12/09/2022,5.0930
13/09/2022,5.1911
14/09/2022,5.1631
15/09/2022,5.2470
16/09/2022,5.2531
19/09/2022,5.1670
20/09/2022,5.1417
21/09/2022,5.1716
22/09/2022,5.1166
23/09/2022,5.2595
26/09/2022,5.3898
27/09/2022,5.3824
28/09/2022,5.3745
29/09/2022,5.3964
30/09/2022,5.4154
03/10/2022,5.1672
04/10/2022,5.1770
05/10/2022,5.1940
06/10/2022,5.2217
07/10/2022,5.1996
10/10/2022,5.1901
11/10/2022,5.3005
12/10/2022,5.2930
13/10/2022,5.2626
14/10/2022,5.3252
17/10/2022,5.2808
18/10/2022,5.2405
19/10/2022,5.2700
20/10/2022,5.2147
21/10/2022,5.1605
24/10/2022,5.3032
25/10/2022,5.3167
26/10/2022,5.3804
27/10/2022,5.3449
28/10/2022,5.2949
31/10/2022,5.1791
01/11/2022,5.1475
02/11/2022,5.1432
03/11/2022,5.1137
04/11/2022,5.0557
07/11/2022,5.1567
08/11/2022,5.1440
09/11/2022,5.1864
10/11/2022,5.3449
11/11/2022,5.3250
14/11/2022,5.3321
15/11/2022,5.3325
16/11/2022,5.3998
17/11/2022,5.4231
18/11/2022,5.3827
21/11/2022,5.3200
22/11/2022,5.3586
23/11/2022,5.3591
24/11/2022,5.3208
25/11/2022,5.4098
28/11/2022,5.3654
29/11/2022,5.2695
30/11/2022,5.1851
